id,country_code,country,city,ip,host,port,supplier
367,SG,Singapore,新加坡NewMediaExpress,202.150.221.170,speedtest.com.sg.prod.hosts.ooklaserver.net,8080,NewMedia Express
2054,SG,Singapore,新加坡ViewQwest,202.83.107.134,speedtest10.vqbn.com,8080,ViewQwest
4235,SG,Singapore,新加坡StarHubLtd,203.116.3.14,co2dsvr03.speedtest.starhub.com.prod.hosts.ooklaserver.net,8080,StarHub Ltd
5935,SG,Singapore,新加坡MyRepublic,103.6.148.98,speedtest.myrepublic.com.sg.prod.hosts.ooklaserver.net,8080,MyRepublic Singapore
7311,SG,Singapore,新加坡M1Limited,103.1.138.214,m1speedtest1.m1net.com.sg,8080,M1 Limited
7556,SG,Singapore,新加坡PTFirstMedia,111.95.246.34,sg-speedtest.fast.net.id.prod.hosts.ooklaserver.net,8080,PT FirstMedia
12687,SG,Singapore,新加坡SIMBA,210.10.78.220,speedtest-sg1.simba.sg,8080,SIMBA Telecom
13058,SG,Singapore,新加坡PTIndosatTbk,114.4.41.30,speedtest1.indosatooredoo.com.prod.hosts.ooklaserver.net,8080,PT Indosat Tbk
13623,SG,Singapore,新加坡Singtel,165.21.70.1,speedtest.singnet.com.sg,8080,Singtel
26654,SG,Singapore,新加坡fdcservers,50.7.253.4,lg-sin.fdcservers.net.prod.hosts.ooklaserver.net,8080,fdcservers.net
31293,SG,Singapore,新加坡PacificInternet(S),45.117.189.2,speedtest2.pacificinternet.com.prod.hosts.ooklaserver.net,8080,Pacific Internet (S)
37744,SG,Singapore,新加坡Telekomunikasi,180.240.181.36,speedtest2.telin.sg.prod.hosts.ooklaserver.net,8080,Telekomunikasi Indonesia International Pte Ltd (Telin Singapore)
40508,SG,Singapore,新加坡i3D,213.179.201.213,sg.as.speedtest.i3d.net.prod.hosts.ooklaserver.net,8080,i3D.net
41358,SG,Singapore,新加坡Contabo,103.164.55.91,sin.speedtest.contabo.net,8080,Contabo
41801,SG,Singapore,新加坡IX,103.29.57.19,speedtest-eqx-sg1.ixtelecom.net.prod.hosts.ooklaserver.net,8080,IX Telecom
42688,SG,Singapore,新加坡PTXLAxiataTbk,112.215.198.21,speedtest-intl.xl.co.id.prod.hosts.ooklaserver.net,8080,PT XL Axiata Tbk
44817,SG,Singapore,新加坡SPTELPTE.LTD.,61.16.64.58,speedtest.sptel.com.prod.hosts.ooklaserver.net,8080,SPTEL PTE. LTD.
45345,SG,Singapore,新加坡MelbikomasUAB,5.44.249.3,speedtest-sin.melbicom.net,8080,Melbikomas UAB
47713,SG,Singapore,新加坡PT.MoraTelematika,202.43.176.90,sig-speedtest.moratelindo.io.prod.hosts.ooklaserver.net,8080,PT. Mora Telematika Indonesia
50406,SG,Singapore,新加坡Verizon,202.94.122.34,sgn-nperf.verizon.net.prod.hosts.ooklaserver.net,8080,Verizon
51839,SG,Singapore,新加坡GlobalXtreme,103.225.148.3,speedtest.singapore.globalxtreme.net.prod.hosts.ooklaserver.net,8080,GlobalXtreme
54359,SG,Singapore,新加坡MatrixNAPInfo,115.146.113.46,speedtest-sg.napinfo.co.id.prod.hosts.ooklaserver.net,8080,Matrix NAP Info
56066,SG,Singapore,新加坡PTHerzaDigital,202.70.133.12,speedtest.herza.cloud.prod.hosts.ooklaserver.net,8080,PT Herza Digital Indonesia
56340,SG,Singapore,新加坡PTLintasJaringanNusantara,103.172.34.131,speedtest16.lintas.net.id.prod.hosts.ooklaserver.net,8080,PT Lintas Jaringan Nusantara
59016,SG,Singapore,新加坡CBN,121.100.2.35,speedtest-sg.cbn.id,8080,CBN
61320,SG,Singapore,新加坡AngolaCables,102.219.127.27,singapura.speedtest.angolacables.co.ao.prod.hosts.ooklaserver.net,8080,Angola Cables
62020,SG,Singapore,新加坡AxclusivePteLtd,209.146.43.37,speedtest.axclusive.com.sg.prod.hosts.ooklaserver.net,8080,Axclusive Pte Ltd
62216,SG,Singapore,新加坡CTCSCITECHLTD,104.251.232.136,speedtest.sg220.sgp.sg.ctcsci.com.prod.hosts.ooklaserver.net,8080,CTCSCI TECH LTD
62530,SG,Singapore,新加坡SymphonyCommunicationPCL,96.30.112.242,bassoon-sg-1.violin.co.th,8080,Symphony Communication PCL
63375,SG,Singapore,新加坡ION,113.192.10.2,speedtest.sg.hsp.net.id.prod.hosts.ooklaserver.net,8080,ION Network
63900,SG,Singapore,新加坡PTCyber,182.23.168.253,speedtest-sg.cni.net.id,8080,PT Cyber Network Indonesia
64839,SG,Singapore,新加坡Atharva,103.253.27.172,speedtest.singapore.atharva.co.id.prod.hosts.ooklaserver.net,8080,Atharva
67827,SG,Singapore,新加坡FPT,1.52.247.12,speedtestsgp.fpt.vn.prod.hosts.ooklaserver.net,8080,FPT Telecom
